#,,Team,W,L,PCT,Diff,HR,SB,OPS+,ERA+,FIP-,K-BB%,wSB,TZR
,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,67,45,0.598,111,135,80,105,119,99,11.2%,0.7,56.7
,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,60,53,0.531,34,110,80,104,108,100,11.2%,0.7,6.6
,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,41,69,0.373,-121,114,74,89,91,100,10.2%,-3.4,-61.3
,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi Dragons</a>,60,55,0.522,-60,70,33,98,93,103,13.7%,-3.7,1.2
,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,56,58,0.491,42,135,31,105,105,92,12.1%,-1.7,-22.4
,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima Carp</a>,52,56,0.481,-6,110,64,109,93,103,10.4%,-2.5,-23.7
,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,58,58,0.500,-64,107,85,90,94,106,6.3%,-0.8,3.2
,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,53,62,0.461,-35,89,80,100,92,101,11.2%,3.8,-18.4
,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,45,68,0.398,-60,90,95,95,95,104,10.6%,1.3,-4.1
,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,55,57,0.491,35,112,67,111,90,103,10.4%,-0.8,-1.1
,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,73,42,0.635,142,126,99,104,131,91,13.0%,4.3,46.2
,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,60,57,0.513,-18,90,87,91,105,98,10.2%,2.1,14.9
