Team,TZR,TZR/143,RngR,ARM,DPR,ErrR,Framing,Blocking,League
Nipponham Fighters,4.0,0.5,2.4,7.5,1.3,-7.2,-9.8,-0.7,PL
Rakuten Eagles,23.6,2.7,42.3,-5.4,-4.2,-8.9,-14.7,-1.9,PL
Yomiuri Giants,-11.0,-1.4,-11.2,-4.4,-1.2,5.8,2.4,-0.1,CL
Chunichi Dragons,-19.1,-2.4,-14.1,-3.7,1.4,-3.3,4.9,0.9,CL
Yakult Swallows,6.7,0.8,-6.1,9.2,3.3,-0.1,7.5,0.5,CL
Hiroshima Carp,-4.2,-0.5,-13.3,12.6,2.9,-7.1,2.8,-0.3,CL
Hanshin Tigers,26.2,3.3,32.0,-7.6,7.3,-5.2,13.3,1.1,CL
DeNA BayStars,-23.5,-2.9,-30.1,2.6,0.0,3.3,11.2,0.7,CL
Seibu Lions,33.3,3.8,33.7,0.9,-1.5,-0.1,-10.6,-1.1,PL
ORIX Buffaloes,-30.3,-3.4,-20.1,-7.2,-6.7,4.0,2.3,-0.2,PL
SoftBank Hawks,9.6,1.1,5.8,0.9,-6.5,9.0,-4.0,2.5,PL
Lotte Marines,-15.5,-1.7,-20.1,-5.6,3.7,6.1,-5.0,-1.2,PL
