Team,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,League
Hanshin Tigers,56,55,29,4,0,4419,1047.2,950,68,848,338,2,43,67,470,415,3.57,3.94,3.65,1.23,101,94,97.1,-0.38,1.5%,19.2%,7.6%,11.5%,WL
Hiroshima Carp,53,52,30,0,0,4230,992.2,912,45,824,386,4,43,48,428,371,3.36,3.85,3.76,1.31,102,97,100.2,-0.49,1.1%,19.5%,9.1%,10.4%,WL
DeNA BayStars,59,66,28,1,0,5056,1175.2,1119,65,936,458,2,54,74,531,450,3.44,4.06,3.85,1.34,100,101,102.6,-0.62,1.3%,18.5%,9.1%,9.5%,EL
Yomiuri Giants,74,44,26,4,3,4607,1110.1,973,63,964,388,0,42,53,416,360,2.92,3.79,3.55,1.23,121,92,94.5,-0.87,1.4%,20.9%,8.4%,12.5%,EL
Yakult Swallows,45,73,24,0,0,4838,1079.0,1183,87,714,432,7,81,77,637,554,4.62,4.78,4.22,1.50,77,116,112.3,-0.16,1.8%,14.8%,8.9%,5.8%,EL
Chunichi Dragons,33,70,21,1,0,4252,976.1,989,65,685,383,6,52,62,525,454,4.19,4.43,4.09,1.41,86,106,108.9,-0.24,1.5%,16.1%,9.0%,7.1%,WL
ORIX Buffaloes,64,49,31,1,1,4483,1081.1,951,70,909,326,1,58,38,414,375,3.12,3.85,3.50,1.18,107,99,93.2,-0.73,1.6%,20.3%,7.3%,13.0%,WL
Lotte Marines,43,75,22,2,0,4688,1084.0,1138,100,834,313,1,42,47,541,464,3.85,4.27,3.69,1.34,95,100,98.2,-0.42,2.1%,17.8%,6.7%,11.1%,EL
SoftBank Hawks,67,49,32,1,1,4490,1087.0,956,53,955,291,4,52,51,436,351,2.91,3.45,3.32,1.15,123,83,88.4,-0.55,1.2%,21.3%,6.5%,14.8%,WL
Rakuten Eagles,78,48,39,4,3,4860,1145.2,1077,75,887,428,2,49,51,473,444,3.49,4.18,3.86,1.31,100,103,102.7,-0.69,1.5%,18.3%,8.8%,9.4%,EL
Seibu Lions,71,49,34,3,0,4690,1108.1,982,89,887,464,1,53,41,484,399,3.24,4.47,3.90,1.30,115,104,103.8,-1.23,1.9%,18.9%,9.9%,9.0%,EL
Nipponham Fighters,54,67,28,0,0,4901,1133.1,1063,93,1008,444,6,67,56,567,487,3.87,4.27,3.65,1.33,92,103,97.2,-0.40,1.9%,20.6%,9.1%,11.5%,EL
League Average,58,58,29,2,1,4626,1085.0,1024,73,871,388,3,53,55,494,427,3.54,4.11,3.75,1.30,100,100,100.0,-0.57,1.6%,18.8%,8.4%,10.4%,
