#,,Team,W,L,PCT,Diff,HR,SB,OPS+,ERA+,FIP-,K-BB%,wSB,TZR
,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,68,72,0.486,-41,163,64,104,91,105,10.4%,0.1,-14.7
,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi Dragons</a>,66,75,0.468,-81,62,66,97,94,100,12.5%,3.4,7.7
,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,73,68,0.518,-37,117,49,101,97,102,11.9%,-4.8,-16.2
,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima Carp</a>,66,74,0.471,8,91,26,104,89,110,11.3%,-5.4,-22.3
,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,68,71,0.489,61,84,110,94,117,88,14.6%,6.9,31.4
,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,80,59,0.576,53,174,69,110,97,105,10.8%,0.2,7.4
,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,69,71,0.493,11,101,97,102,96,103,11.6%,-0.3,8.6
,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,69,73,0.486,-35,97,132,88,100,99,11.3%,10.0,-6.9
,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,72,68,0.514,16,118,60,95,119,98,10.4%,-1.9,26.3
,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,76,65,0.539,32,89,62,106,111,91,15.2%,-2.6,-24.7
,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,76,65,0.539,84,108,86,108,105,101,13.3%,0.1,44.5
,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,59,81,0.421,-71,100,95,94,93,100,11.1%,-5.5,12.5
