                  Pitcher   G   W   L  SV  HLD  CG  SHO   BF     IP    H  HR   SO  BB  IBB  HB  WP   R  ER     ERA    FIP  kwERA   WHIP ERA+ FIP- kwERA-    Diff    HR%     K%    BB%   K-BB%     GB% Chase%    Con% SwStr%   CSW%  FB Velo                Team League
94            Itoh Yusuke   8   0   0   0    1   0    0   32    8.2    5   0    8   3    0   1   0   1   1    1.04   2.63   3.24   0.92  282   79     89   -1.59   0.0%  25.0%   9.4%   15.6%    nan%   nan%    nan%   nan%   nan%      NaN      Yomiuri Giants     CL
95          Izumi Keisuke  35   2   0   1    5   0    0  149   37.1   28   0   30  11    2   4   1  10   8    1.93   2.69   3.52   1.04  152   81     97   -0.76   0.0%  20.1%   7.4%   12.8%   33.3%  22.8%   87.7%   5.9%  20.7%     91.2      Yomiuri Giants     CL
96            Keller Kyle  52   2   2   1   20   0    0  183   47.0   24   5   54  19    1   0   0  10   8    1.53   3.39   2.89   0.91  192  102     79   -1.86   2.7%  29.5%  10.4%   19.1%   39.5%  31.7%   76.4%  11.5%  26.1%     94.2      Yomiuri Giants     CL
97         Kyomoto Makoto   4   0   0   0    0   0    0   20    5.0    4   0    3   2    1   1   0   2   2    3.60   3.69   4.30   1.20   81  111    118   -0.09   0.0%  15.0%  10.0%    5.0%    nan%   nan%    nan%   nan%   nan%      NaN      Yomiuri Giants     CL
98          Mataki Teppei   3   0   1   0    0   0    0   51   10.1   11   2    7  10    0   0   0   7   7    6.10   7.15   5.39   2.03   48  215    148   -1.05   3.9%  13.7%  19.6%   -5.9%   38.3%  27.9%   84.2%   7.2%  27.8%     89.1      Yomiuri Giants     CL
99          Matsui Hayate   2   0   0   0    0   0    0    9    1.1    2   1    1   3    0   0   0   2   2   13.50  18.09   7.02   3.75   22  545    193   -4.59  11.1%  11.1%  33.3%  -22.2%    nan%   nan%    nan%   nan%   nan%      NaN      Yomiuri Giants     CL
100       Mendez Yohander   2   0   2   0    0   0    0   27    4.1    6   0    4   7    0   0   0   8   6   12.46   6.09   5.91   3.00   24  183    163    6.37   0.0%  14.8%  25.9%  -11.1%    nan%   nan%    nan%   nan%   nan%      NaN      Yomiuri Giants     CL
101         Nakagawa Kota  15   0   2   0    7   0    0   60   12.1   19   3    7   3    0   0   0  12  12    8.76   5.84   4.13   1.78   33  176    114    2.92   5.0%  11.7%   5.0%    6.7%   48.6%  34.6%   74.9%  13.0%  29.0%     91.1      Yomiuri Giants     CL
102        Nishidate Yuhi  28   1   3   1   20   0    0  126   30.2   22   2   25  14    0   0   0  14  13    3.82   3.67   3.93   1.17   77  111    108    0.15   1.6%  19.8%  11.1%    8.7%   44.2%  29.9%   79.3%  10.0%  28.4%     92.5      Yomiuri Giants     CL
103            Ohe Ryusei  16   0   0   0    5   0    0   56   13.2    9   1   13   8    0   0   0   4   4    2.63   3.89   3.91   1.24  112  117    107   -1.26   1.8%  23.2%  14.3%    8.9%    nan%   nan%    nan%   nan%   nan%      NaN      Yomiuri Giants     CL
104            Ota Taisei  43   1   2  29    5   0    0  161   41.0   28   0   54   8    2   0   1   4   4    0.88   1.04   1.94   0.88  333   31     53   -0.16   0.0%  33.5%   5.0%   28.6%   55.2%  33.6%   73.2%  13.9%  29.0%     95.3      Yomiuri Giants     CL
105       Sugano Tomoyuki  24  15   3   0    0   3    1  608  156.2  132   6  111  16    0   4   4  31  29    1.67   2.55   3.24   0.94  176   77     89   -0.88   1.0%  18.3%   2.6%   15.6%    nan%   nan%    nan%   nan%   nan%      NaN      Yomiuri Giants     CL
106         Takahashi Rei  11   2   2   0    0   1    0  199   46.2   42   3   22  21    1   1   1  20  19    3.66   4.40   4.75   1.35   80  132    131   -0.74   1.5%  11.1%  10.6%    0.5%    nan%   nan%    nan%   nan%   nan%      NaN      Yomiuri Giants     CL
107       Takanashi Yuhei  51   4   3   0   25   0    0  145   35.1   26   1   29  15    2   0   1   9   8    2.04   3.09   3.83   1.16  144   93    105   -1.05   0.7%  20.0%  10.3%    9.7%   41.9%  20.1%   72.6%  10.9%  29.6%     88.2      Yomiuri Giants     CL
108        Tanaka Chiharu   3   0   0   0    0   0    0   14    4.0    2   0    4   0    0   0   0   0   0    0.00   1.09   1.94   0.50  999   33     53   -1.09   0.0%  28.6%   0.0%   28.6%    nan%   nan%    nan%   nan%   nan%      NaN      Yomiuri Giants     CL
109           Togo Shosei  26  12   8   0    0   4    3  703  180.0  129  12  156  44    3   7   3  39  39    1.95   3.07   3.21   0.96  150   92     88   -1.12   1.7%  22.2%   6.3%   15.9%   41.8%  30.9%   77.3%  10.7%  27.7%     91.3      Yomiuri Giants     CL
110         Yamasaki Iori  24  10   6   0    0   1    1  621  147.1  140   8  103  42    1  10   2  48  46    2.81   3.45   3.82   1.24  104  104    105   -0.64   1.3%  16.6%   6.8%    9.8%   54.7%  30.9%   77.5%  10.6%  28.2%     91.8      Yomiuri Giants     CL
111          Yokogawa Kai  12   3   1   0    0   0    0  111   28.2   23   0    9  10    1   0   0   4   3    0.94   3.51   4.89   1.15  312  106    134   -2.57   0.0%   8.1%   9.0%   -0.9%   56.5%  27.5%   82.0%   7.9%  28.9%     88.0      Yomiuri Giants     CL
112           Espada Jose  24   0   2   0    5   0    0  118   27.0   27   3   16  14    1   0   1  15  15    5.00   4.90   4.63   1.52   64  135    127    0.10   2.5%  13.6%  11.9%    1.7%    nan%   nan%    nan%   nan%   nan%      NaN     Yakult Swallows     CL
113             Hara Juri   7   0   0   0    0   0    0   39   10.0    6   1    2   3    1   0   0   2   2    1.80   4.89   5.06   0.90  179  134    139   -3.09   2.6%   5.1%   7.7%   -2.6%    nan%   nan%    nan%   nan%   nan%      NaN     Yakult Swallows     CL
114       Hasegawa Hiroki  19   1   0   0    2   0    0   92   21.0   21   4   21  10    1   1   2  11  11    4.71   5.14   3.60   1.48   68  141     99   -0.43   4.3%  22.8%  10.9%   12.0%   47.4%  36.8%   76.5%  11.0%  30.1%     91.6     Yakult Swallows     CL
115          Hoshi Tomoya  36   1   0   1    2   0    0  166   37.1   37   4   33  18    2   2   1  15  15    3.62   4.32   3.90   1.47   89  119    107   -0.70   2.4%  19.9%  10.8%    9.0%   46.6%  32.2%   76.5%  11.5%  27.3%     93.5     Yakult Swallows     CL
116         Ishihara Yuki   1   0   0   0    0   0    0    5    1.0    1   0    0   0    0   0   0   1   1    9.00   3.09   4.80   1.00   36   85    132    5.91   0.0%   0.0%   0.0%    0.0%   47.1%  14.0%   86.4%   5.6%  24.3%     87.6     Yakult Swallows     CL
117     Ishikawa Masanori   9   1   4   0    0   1    1  161   37.1   45   4   10   6    0   1   1  20  17    4.10   4.51   4.55   1.37   78  124    125   -0.41   2.5%   6.2%   3.7%    2.5%   48.6%  21.5%   90.7%   3.9%  25.1%     80.2     Yakult Swallows     CL
118       Ishiyama Taichi  37   1   0   5    8   0    0  189   41.1   53   2   39  14    5   1   3  20  20    4.35   2.92   3.48   1.62   74   80     96    1.43   1.1%  20.6%   7.4%   13.2%   45.3%  34.6%   74.6%  13.5%  29.9%     91.5     Yakult Swallows     CL
119         Kanakubo Yuto   5   0   1   0    0   0    0   33    7.2    5   1    8   4    0   1   0   3   3    3.52   4.65   3.59   1.17   91  128     99   -1.13   3.0%  24.2%  12.1%   12.1%   31.4%  17.9%   84.1%   7.1%  24.2%     92.5     Yakult Swallows     CL
120         Kayama Shinya   9   0   0   0    1   0    0   24    4.1   12   0    4   0    0   0   0   7   7   14.54   1.24   3.13   2.77   22   34     86   13.30   0.0%  16.7%   0.0%   16.7%    nan%   nan%    nan%   nan%   nan%      NaN     Yakult Swallows     CL
121        Kizawa Naofumi  55   3   3   5   16   0    0  225   53.0   50   4   46  20    5   0   5  19  18    3.06   3.47   3.64   1.32  105   95    100   -0.41   1.8%  20.4%   8.9%   11.6%   46.3%  24.5%   80.7%   8.6%  23.4%     93.4     Yakult Swallows     CL
122           Konno Ryuta   6   0   0   0    1   0    0   28    6.1    7   0    4   3    1   0   0   0   0    0.00   3.25   4.44   1.58  999   89    122   -3.25   0.0%  14.3%  10.7%    3.6%    nan%   nan%    nan%   nan%   nan%      NaN     Yakult Swallows     CL
123          Kozawa Reiji  40   6   6  11    2   0    0  309   77.2   64   6   66  23    2   1   4  22  22    2.55   3.32   3.41   1.12  126   91     94   -0.77   1.9%  21.4%   7.4%   13.9%   45.1%  25.7%   74.5%  11.2%  29.3%     88.1     Yakult Swallows     CL
124        Maruyama Shota  27   1   0   0    5   0    0  125   31.1   23   0   23   9    0   1   2   4   2    0.57   2.58   3.68   1.02  564   71    101   -2.01   0.0%  18.4%   7.2%   11.2%   35.7%  29.0%   68.2%  14.2%  29.5%     92.2     Yakult Swallows     CL
125       Matsumoto Kengo   3   1   1   0    0   1    1   60   14.1   17   2   12   1    0   1   0   7   7    4.40   3.65   2.97   1.26   73  100     82    0.75   3.3%  20.0%   1.7%   18.3%   52.0%  30.5%   77.9%  10.8%  26.6%     91.4     Yakult Swallows     CL
126        Miyagawa Tetsu   4   0   0   0    0   0    0   21    4.0    9   0    4   1    0   0   0   3   3    6.75   1.84   3.37   2.50   48   50     93    4.91   0.0%  19.0%   4.8%   14.3%    nan%   nan%    nan%   nan%   nan%      NaN     Yakult Swallows     CL
127        Ogawa Yasuhiro  12   2   5   0    0   0    0  264   62.0   75   6   40   8    2   0   0  35  32    4.65   3.44   3.59   1.34   69   95     99    1.21   2.3%  15.2%   3.0%   12.1%   40.8%  34.4%   83.5%   7.9%  26.6%     87.9     Yakult Swallows     CL
128        Ohnishi Hiroki  60   9   1   1   23   0    0  235   60.1   53   3   31  12    3   2   2  12   9    1.34   3.40   3.99   1.08  240   93    110   -2.06   1.3%  13.2%   5.1%    8.1%   52.9%  35.7%   71.8%  13.4%  29.8%     90.2     Yakult Swallows     CL
129      Okugawa Yasunobu   7   3   2   0    0   0    0  136   32.2   29   4   12   9    0   3   1  12  10    2.76   5.05   4.58   1.16  116  139    126   -2.29   2.9%   8.8%   6.6%    2.2%   47.8%  30.1%   79.6%   9.8%  29.0%     91.4     Yakult Swallows     CL
130            Onaka Yuya   1   0   0   0    0   0    0   10    2.0    3   1    0   2    0   0   0   4   4   18.00  12.59   6.80   2.50   18  346    187    5.41  10.0%   0.0%  20.0%  -20.0%    nan%   nan%    nan%   nan%   nan%      NaN     Yakult Swallows     CL
131       Rodriguez Elvin  32   1   1   1    8   0    0  183   45.0   40   1   44  12    3   1   2  13   9    1.80   2.29   3.05   1.16  179   63     84   -0.49   0.5%  24.0%   6.6%   17.5%    nan%   nan%    nan%   nan%   nan%      NaN     Yakult Swallows     CL
132     Sakaguchi Kousuke   2   0   1   0    0   0    0   43    8.1   11   0    6   8    0   0   2  10  10   10.80   4.53   5.27   2.28   30  124    145    6.27   0.0%  14.0%  18.6%   -4.7%   57.0%  21.0%   79.2%   8.4%  24.2%     93.8     Yakult Swallows     CL
133        Shibata Daichi   1   0   0   0    0   0    0    8    2.0    1   0    2   2    0   0   0   1   1    4.50   4.09   4.80   1.50   71  112    132    0.41   0.0%  25.0%  25.0%    0.0%    nan%   nan%    nan%   nan%   nan%      NaN     Yakult Swallows     CL
134        Shimizu Noboru  17   0   3   2    2   0    0   81   17.1   24   1    8   4    1   0   0  14  14    7.27   3.61   4.31   1.62   44   99    118    3.66   1.2%   9.9%   4.9%    4.9%   50.4%  25.2%   78.0%   9.9%  28.3%     90.8     Yakult Swallows     CL
135              Sneed Cy  24   2   8   0    0   1    1  536  120.0  148  16   89  31    1   5   3  69  67    5.03   4.24   3.72   1.49   64  116    102    0.79   3.0%  16.6%   5.8%   10.8%    nan%   nan%    nan%   nan%   nan%      NaN     Yakult Swallows     CL
136        Taguchi Kazuto  41   1   4   7   13   0    0  139   33.2   34   2   22   9    0   1   2  14  11    2.94   3.44   3.86   1.28  109   95    106   -0.50   1.4%  15.8%   6.5%    9.4%   55.0%  26.3%   79.4%   9.2%  26.9%     89.1     Yakult Swallows     CL
137       Takahashi Keiji  21   8   9   0    1   0    0  504  115.2  116  12  106  38    1   8   1  55  46    3.58   3.80   3.45   1.33   90  104     95   -0.22   2.4%  21.0%   7.5%   13.5%   43.8%  25.7%   76.3%  11.0%  28.3%     93.1     Yakult Swallows     CL
138   Takanashi Hirotoshi   8   1   4   0    0   0    0  158   37.0   44   7   37   8    3   1   2  19  17    4.14   4.28   2.96   1.41   78  118     82   -0.14   4.4%  23.4%   5.1%   18.4%   44.6%  28.4%   79.8%   9.2%  27.4%     90.8     Yakult Swallows     CL
139         Yajure Miguel  23   5  10   0    1   1    1  550  129.1  130   8   84  43    7   5   5  50  48    3.34   3.71   4.05   1.34   96  102    111   -0.37   1.5%  15.3%   7.8%    7.5%    nan%   nan%    nan%   nan%   nan%      NaN     Yakult Swallows     CL
140        Yamamoto Daiki  44   3   0   1   12   0    0  126   31.2   18   0   31  15    3   0   2   6   5    1.42   2.55   3.53   1.04  226   70     97   -1.13   0.0%  24.6%  11.9%   12.7%   59.0%  22.3%   77.9%   9.9%  24.5%     88.4     Yakult Swallows     CL
141         Yamano Taichi  14   3   4   0    0   0    0  217   50.1   59   8   32  12    3   2   0  38  34    6.08   4.72   3.88   1.41   53  130    107    1.36   3.7%  14.7%   5.5%    9.2%   49.6%  28.3%   78.3%  10.3%  29.4%     91.2     Yakult Swallows     CL
142      Yoshimura Kojiro  23   9   8   0    0   1    1  584  138.1  144   8  114  39    3   2   0  55  49    3.19   3.08   3.52   1.32  101   85     97    0.11   1.4%  19.5%   6.7%   12.8%   46.1%  33.0%   82.8%   8.6%  26.7%     91.4     Yakult Swallows     CL
143         Feliz Michael  17   0   1   0    0   0    0   74   17.1   15   2   10   8    0   0   3  10  10    5.19   4.82   4.53   1.33   53  154    125    0.37   2.7%  13.5%  10.8%    2.7%    nan%   nan%    nan%   nan%   nan%      NaN    Chunichi Dragons     CL
144       Fujishima Kento  50   3   3   0   14   0    0  193   49.0   29   5   46  17    0   2   1  13  12    2.20   3.70   3.30   0.94  125  119     91   -1.50   2.6%  23.8%   8.8%   15.0%   49.1%  27.5%   79.2%   9.4%  26.7%     88.8    Chunichi Dragons     CL
145           Fuku Hiroto  13   0   0   0    0   0    0   46   11.2    4   0    7   8    0   0   0   2   2    1.54   3.95   5.02   1.03  179  126    138   -2.41   0.0%  15.2%  17.4%   -2.2%   42.0%  16.0%   85.3%   5.5%  25.7%     86.9    Chunichi Dragons     CL
146         Fukutani Koji   8   3   1   0    1   0    0  121   29.0   30   3   16   7    0   0   1  12  12    3.72   4.05   4.06   1.28   74  130    112   -0.33   2.5%  13.2%   5.8%    7.4%    nan%   nan%    nan%   nan%   nan%      NaN    Chunichi Dragons     CL
147           Habu Shohta   7   0   0   0    0   0    0   55   12.0   13   0    9   6    0   0   0  10   8    6.00   3.09   4.25   1.58   46   99    117    2.91   0.0%  16.4%  10.9%    5.5%    nan%   nan%    nan%   nan%   nan%      NaN    Chunichi Dragons     CL
148        Hashimoto Yuki  47   3   1   0    5   0    0  225   52.0   46   0   54  22    0   2   0  19  10    1.73   2.40   3.38   1.31  159   77     93   -0.67   0.0%  24.0%   9.8%   14.2%   55.0%  34.0%   74.3%  12.6%  30.9%     92.0    Chunichi Dragons     CL
149           Iwasaki Sho  21   0   0   0    1   0    0   94   20.0   24   0   18  11    0   0   0  14  13    5.85   2.94   4.06   1.75   47   94    112    2.91   0.0%  19.1%  11.7%    7.4%   42.1%  32.6%   75.0%  14.0%  25.8%     94.6    Chunichi Dragons     CL
150      Katsuno Akiyoshi  39   1   1   0    7   0    0  174   41.0   44   1   33  14    3   0   2  16  16    3.51   2.82   3.71   1.41   78   90    102    0.69   0.6%  19.0%   8.0%   10.9%   40.8%  33.6%   69.7%  15.4%  28.4%     95.5    Chunichi Dragons     CL
151       Martinez Raidel  60   2   3  43    7   0    0  217   58.0   35   1   59  12    2   2   0   8   7    1.09   2.00   2.63   0.81  253   64     72   -0.91   0.5%  27.2%   5.5%   21.7%    nan%   nan%    nan%   nan%   nan%      NaN    Chunichi Dragons     CL
152      Matsuba Takahiro  17   5   6   0    0   2    0  381   93.1   85   8   50  24    0   2   2  33  32    3.09   3.97   4.12   1.17   89  127    113   -0.88   2.1%  13.1%   6.3%    6.8%   50.4%  25.7%   85.5%   6.5%  26.1%     84.3    Chunichi Dragons     CL
153      Matsukihira Yuta   8   2   4   0    0   0    0  206   48.2   46   5   40  16    1   4   1  20  20    3.70   4.01   3.63   1.27   74  129    100   -0.31   2.4%  19.4%   7.8%   11.7%   42.9%  28.6%   71.4%  12.1%  36.4%     89.2    Chunichi Dragons     CL
154      Matsuyama Shinya  59   2   3   0   41   0    0  214   54.1   38   0   57  17    5   3   2   9   8    1.33   2.09   2.93   1.01  207   67     81   -0.76   0.0%  26.6%   7.9%   18.7%   50.4%  30.7%   72.4%  13.0%  30.5%     95.7    Chunichi Dragons     CL
155        Mejia Humberto  15   3   8   0    0   0    0  323   75.2   73   7   51  24    1   4   1  42  41    4.88   4.05   3.96   1.28   56  130    109    0.83   2.2%  15.8%   7.4%    8.4%   43.0%  30.4%   76.0%  12.2%  28.7%     92.8    Chunichi Dragons     CL
156          Nakachi Reia   1   0   0   0    0   0    0    3    1.0    0   0    2   0    0   0   0   0   0    0.00  -0.91  -1.87   0.00  999  -29    -51    0.91   0.0%  66.7%   0.0%   66.7%   44.4%  10.3%   87.5%   4.3%  18.8%     90.8    Chunichi Dragons     CL
157             Neo Akira   3   0   1   0    0   0    0   39    7.2   10   2    7   7    0   0   1   9   8    9.39   7.39   4.80   2.22   29  237    132    2.00   5.1%  17.9%  17.9%    0.0%   25.0%  14.6%   75.6%  10.8%  25.5%     92.6    Chunichi Dragons     CL
158  Ogasawara Shinnosuke  24   5  11   0    0   0    0  602  144.1  151   9   82  22    2   4   2  59  50    3.12   3.30   3.80   1.20   88  106    105   -0.18   1.5%  13.6%   3.7%   10.0%    nan%   nan%    nan%   nan%   nan%      NaN    Chunichi Dragons     CL
159            Ohno Yudai   9   2   6   0    0   0    0  192   44.1   50   5   27  12    0   2   1  27  24    4.87   4.28   4.02   1.40   57  137    111    0.59   2.6%  14.1%   6.2%    7.8%   45.9%  27.0%   84.1%   7.2%  27.1%     88.8    Chunichi Dragons     CL
160          Saitoh Kohki  56   4   3   0   19   0    0  200   47.1   45   1   44  18    4   1   2  11  11    2.09   2.71   3.50   1.33  132   87     96   -0.62   0.5%  22.0%   9.0%   13.0%   39.5%  30.5%   64.3%  16.2%  32.5%     86.7    Chunichi Dragons     CL
161       Shimizu Tatsuya  60   3   1   1   36   0    0  229   58.0   41   1   52  18    2   1   5  12   9    1.40   2.50   3.32   1.02  197   80     91   -1.10   0.4%  22.7%   7.9%   14.8%   58.4%  20.7%   78.4%   9.5%  27.5%     93.0    Chunichi Dragons     CL
162         Sobue Daisuke  28   0   0   0    4   0    0  116   28.1   26   4   15   6    1   0   1  13   9    2.86   4.50   4.02   1.13   96  144    111   -1.64   3.4%  12.9%   5.2%    7.8%   45.5%  24.1%   84.2%   7.3%  23.6%     90.6    Chunichi Dragons     CL
163         Tajima Shinji   2   0   0   0    1   0    0    6    0.1    4   0    1   1    0   0   0   4   4  108.00   6.09   4.80  15.00    3  195    132  101.91   0.0%  16.7%  16.7%    0.0%    nan%   nan%    nan%   nan%   nan%      NaN    Chunichi Dragons     CL
164      Takahashi Hiroto  21  12   4   0    0   1    1  569  143.2  107   1  130  34    2   4   5  27  22    1.38   2.16   3.11   0.98  200   69     86   -0.78   0.2%  22.8%   6.0%   16.9%   56.1%  30.4%   73.9%  12.7%  26.9%     94.5    Chunichi Dragons     CL
165            Umeno Yugo  18   1   0   0    2   0    0   97   21.2   26   0   12   6    2   1   0  13  10    4.15   2.95   4.18   1.48   66   95    115    1.20   0.0%  12.4%   6.2%    6.2%   47.9%  26.8%   75.1%  10.0%  29.0%     93.4    Chunichi Dragons     CL
166          Umetsu Kodai  14   2   8   0    0   0    0  327   77.1   76   3   72  31    0   2   3  35  35    4.07   3.01   3.55   1.38   68   96     98    1.06   0.9%  22.0%   9.5%   12.5%    nan%   nan%    nan%   nan%   nan%      NaN    Chunichi Dragons     CL
167         Wakui Hideaki  16   3   5   0    0   0    0  349   85.0   79   4   46  23    1   2   3  31  29    3.07   3.50   4.14   1.20   90  112    114   -0.43   1.1%  13.2%   6.6%    6.6%   45.2%  25.3%   82.9%   8.1%  25.6%     90.0    Chunichi Dragons     CL
168           Yanagi Yuya  13   4   5   0    0   0    0  286   67.0   75   5   34  20    1   0   3  29  28    3.76   3.94   4.31   1.42   73  126    119   -0.18   1.7%  11.9%   7.0%    4.9%   48.8%  25.2%   79.7%   8.4%  29.3%     88.9    Chunichi Dragons     CL
169             Abe Shota  17   0   1   0    4   0    0   63   14.2   12   0   13   7    0   0   0   3   3    1.84   2.75   3.85   1.30  158   84    106   -0.91   0.0%  20.6%  11.1%    9.5%   34.1%  24.0%   78.3%  10.2%  25.0%     90.5      ORIX Buffaloes     PL
170           Azuma Kohei  10   3   4   0    0   0    0  242   58.2   47   3   38  15    0   6   1  18  17    2.61   3.53   3.85   1.06  111  107    106   -0.92   1.2%  15.7%   6.2%    9.5%   48.8%  24.1%   80.6%   8.7%  25.9%     92.4      ORIX Buffaloes     PL
171         Castillo Luis  15   3   5   0    0   0    0  378   94.1   75   5   74  18    0   2   1  37  31    2.96   2.84   3.32   0.99   98   87     91    0.12   1.3%  19.6%   4.8%   14.8%    nan%   nan%    nan%   nan%   nan%      NaN      ORIX Buffaloes     PL
172     Espinoza Anderson  22   7   9   0    0   1    0  550  133.2  122   2  113  48    0   6   1  43  39    2.63   2.80   3.62   1.27  110   85     99   -0.17   0.4%  20.5%   8.7%   11.8%   53.4%  26.2%   78.4%   9.6%  29.4%     92.1      ORIX Buffaloes     PL
173           Higa Motoki   5   0   0   0    0   0    0   14    3.2    1   0    3   3    1   0   0   0   0    0.00   3.91   4.80   1.09  999  119    132   -3.91   0.0%  21.4%  21.4%    0.0%    nan%   nan%    nan%   nan%   nan%      NaN      ORIX Buffaloes     PL
174      Hirano Yoshihisa  12   1   1   7    1   0    0   58   10.2   19   1   11   5    0   0   0  10   5    4.22   3.65   3.77   2.25   69  111    104    0.57   1.7%  19.0%   8.6%   10.3%   36.4%  10.0%   94.7%   2.1%  21.3%     89.7      ORIX Buffaloes     PL
175          Honda Hitomi  23   2   0   0    9   0    0   92   22.0   21   1   21   5    0   1   1   7   7    2.86   2.59   3.06   1.18  102   79     84    0.27   1.1%  22.8%   5.4%   17.4%    nan%   nan%    nan%   nan%   nan%      NaN      ORIX Buffaloes     PL
176       Iguchi Kazutomo  32   1   2   0    3   0    0  134   32.1   29   0   25  11    0   2   0  15  15    4.18   2.75   3.76   1.24   69   84    103    1.43   0.0%  18.7%   8.2%   10.4%   42.9%  18.9%   90.0%   4.4%  19.5%     90.6      ORIX Buffaloes     PL
177          Kawase Kento   8   0   1   0    0   0    0   51   10.1   11   0    3   7    0   1   0   5   4    3.48   4.83   5.58   1.74   83  147    154   -1.35   0.0%   5.9%  13.7%   -7.8%   48.0%  21.6%   81.7%   7.5%  26.9%     90.6      ORIX Buffaloes     PL
178         Kogita Atsuya  13   1   1   0    8   0    0   46   13.0    9   0   11   0    0   0   0   2   2    1.38   1.40   2.41   0.69  210   42     66   -0.02   0.0%  23.9%   0.0%   23.9%    nan%   nan%    nan%   nan%   nan%      NaN      ORIX Buffaloes     PL
179       Kotajima Seiryu  50   2   1   0   24   0    0  179   45.2   30   2   43  17    1   1   1   6   4    0.79   2.96   3.35   1.03  368   90     92   -2.17   1.1%  24.0%   9.5%   14.5%   46.3%  24.4%   73.1%  13.4%  25.2%     90.8      ORIX Buffaloes     PL
180        Machado Andres  53   5   3  23   14   0    0  211   53.1   36   1   58  18    1   1   0  13  12    2.03   2.23   2.90   1.01  143   68     80   -0.20   0.5%  27.5%   8.5%   19.0%   55.7%  37.6%   69.9%  16.9%  29.0%     97.0      ORIX Buffaloes     PL
181             Mae Yuito   4   0   0   0    0   0    0   25    5.0    8   1    5   2    0   0   0   5   4    7.20   4.89   3.60   2.00   40  149     99    2.31   4.0%  20.0%   8.0%   12.0%    nan%   nan%    nan%   nan%   nan%      NaN      ORIX Buffaloes     PL
182         Miyagi Hiroya  20   7   9   0    0   3    0  560  141.2  115   7  139  22    0   3   2  31  30    1.91   2.30   2.71   0.97  152   70     75   -0.39   1.2%  24.8%   3.9%   20.9%   51.9%  34.1%   73.6%  12.8%  32.2%     90.8      ORIX Buffaloes     PL
183          Mukunoki Ren  10   1   1   0    0   0    0   60   13.0   18   0    7   2    0   1   1   8   8    5.54   2.70   3.97   1.54   52   82    109    2.84   0.0%  11.7%   3.3%    8.3%   35.2%  30.2%   82.0%   8.9%  26.7%     91.9      ORIX Buffaloes     PL
184       Muranishi Ryota   1   0   0   0    0   0    0    6    1.0    1   1    0   2    0   0   0   1   1    9.00  22.09   8.13   3.00   32  672    224  -13.09  16.7%   0.0%  33.3%  -33.3%    nan%   nan%    nan%   nan%   nan%      NaN      ORIX Buffaloes     PL
185          Perdomo Luis  28   1   0   4   14   0    0  105   28.0   20   1   19   3    0   0   0   2   2    0.64   2.52   3.28   0.82  454   77     90   -1.88   1.0%  18.1%   2.9%   15.2%   56.4%  30.5%   79.8%   9.6%  27.5%     92.0      ORIX Buffaloes     PL
186           Saiki Kaito  15   0   2   0    1   0    0  100   23.0   28   2   15   6    0   0   0  14  13    5.09   3.70   3.90   1.48   57  112    107    1.39   2.0%  15.0%   6.0%    9.0%   56.1%  31.4%   72.7%  12.6%  30.6%     93.9      ORIX Buffaloes     PL
187         Saito Kyosuke   8   2   3   0    0   0    0  165   37.2   29   2   28  19    0   2   1  20  17    4.06   3.96   4.25   1.27   72  121    117    0.10   1.2%  17.0%  11.5%    5.5%    nan%   nan%    nan%   nan%   nan%      NaN      ORIX Buffaloes     PL
188          Satoh Kazuma   5   1   1   0    1   0    0   53   11.2   13   1    5   4    0   2   1  11   7    5.40   4.89   4.61   1.46   54  149    127    0.51   1.9%   9.4%   7.5%    1.9%   50.0%  26.2%   83.1%   7.8%  26.0%     87.1      ORIX Buffaloes     PL
189         Sotani Ryuhei  20   7  11   0    0   0    0  490  119.0  112   4  117  27    0   1   1  37  31    2.34   2.26   2.96   1.17  124   69     81    0.08   0.8%  23.9%   5.5%   18.4%   46.2%  31.6%   75.6%  12.0%  29.4%     92.3      ORIX Buffaloes     PL
190        Suzuki Hiroshi  32   1   1   0    9   0    0  166   39.1   40   4   32  14    2   2   0  14  13    2.97   4.00   3.72   1.37   98  122    102   -1.03   2.4%  19.3%   8.4%   10.8%   45.2%  24.5%   82.9%   8.4%  21.9%     93.0      ORIX Buffaloes     PL
191          Tajima Daiki  21   6   8   0    0   0    0  501  117.1  121  10   87  34    0   2   4  51  48    3.68   3.63   3.74   1.32   79  111    103    0.05   2.0%  17.4%   6.8%   10.6%   46.9%  24.7%   80.5%   9.3%  26.3%     89.6      ORIX Buffaloes     PL
192       Takashima Taito  21   2   2   0    4   0    0  238   56.0   50   3   30  20    0   4   1  27  25    4.02   4.00   4.38   1.25   72  122    120    0.02   1.3%  12.6%   8.4%    4.2%   47.0%  27.8%   83.3%   8.0%  23.9%     91.9      ORIX Buffaloes     PL
193        Tomiyama Ryoga  16   0   0   0    3   0    0   52   11.0   10   0    8   5    1   3   1   6   4    3.27   3.82   4.22   1.36   89  116    116   -0.55   0.0%  15.4%   9.6%    5.8%   35.3%  22.9%   81.2%   7.8%  16.9%     87.8      ORIX Buffaloes     PL
194          Udagawa Yuki  13   0   2   0    3   0    0   50   11.2    4   0   14  12    0   0   0   6   3    2.31   3.77   4.40   1.37  126  115    121   -1.46   0.0%  28.0%  24.0%    4.0%    nan%   nan%    nan%   nan%   nan%      NaN      ORIX Buffaloes     PL
