Rank,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,,Team,League
,Satoh Toshiya,3,12,11,1,2,1,0,0,3,0,0,0,0,0,2,1,0,0,0,0.182,0.250,0.273,0.523,61,0.091,0.222,25.0%,16.7%,8.3%,0.50,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Sano Keita,13,52,46,4,10,2,0,2,18,4,0,0,0,0,6,3,0,3,4,0.217,0.308,0.391,0.699,113,0.174,0.211,21.2%,11.5%,5.8%,0.50,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Maegawa Ukyo,2,8,7,0,1,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0.143,0.250,0.143,0.393,26,0.000,0.250,37.5%,37.5%,0.0%,0.00,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Haraguchi Fumihito,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,660,1.500,0.000,50.0%,0.0%,0.0%,,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Tomosugi Atsuki,3,12,11,0,3,1,0,0,4,1,0,1,1,0,0,0,0,0,0,0.273,0.273,0.364,0.636,94,0.091,0.273,0.0%,0.0%,0.0%,,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Yoshino Teruki,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,,100.0%,100.0%,0.0%,0.00,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Shuto Ukyo,9,35,32,3,8,1,0,0,9,2,2,1,0,1,8,2,0,0,0,0.250,0.286,0.281,0.567,75,0.031,0.320,28.6%,22.9%,5.7%,0.25,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Sakamoto Hayato,6,19,17,2,6,1,0,0,7,0,0,0,0,0,3,2,0,0,0,0.353,0.421,0.412,0.833,161,0.059,0.429,26.3%,15.8%,10.5%,0.67,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Sakamoto Seishiro,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.000,0.333,0.000,0.333,13,0.000,0.000,66.7%,33.3%,33.3%,1.00,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Masuda Daiki,4,4,3,1,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0.000,0.250,0.000,0.250,-16,0.000,0.000,75.0%,50.0%,25.0%,0.50,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Ohshiro Takumi,3,9,8,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0.000,0.111,0.000,0.111,-63,0.000,0.000,44.4%,33.3%,11.1%,0.33,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Ohyama Yusuke,2,8,8,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0.250,0.250,0.250,0.500,57,0.000,0.286,12.5%,12.5%,0.0%,0.00,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Ohnuki Shinichi,3,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0.000,0.000,0.000,0.000,-98,0.000,0.000,75.0%,75.0%,0.0%,0.00,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Narama Taiki,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,,100.0%,100.0%,0.0%,0.00,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Yasuda Hisanori,1,4,4,1,2,0,0,1,5,1,0,0,0,0,1,0,0,0,0,0.500,0.500,1.250,1.750,416,0.750,0.500,50.0%,25.0%,0.0%,0.00,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Miyazaki Toshiro,14,58,54,3,10,6,0,1,19,2,0,0,0,0,11,3,1,1,1,0.185,0.241,0.352,0.593,80,0.167,0.214,25.9%,19.0%,5.2%,0.27,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Obata Ryuhei,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,0.0%,,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Kobayashi Seiji,2,4,3,0,2,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0.667,0.750,0.667,1.417,347,0.000,1.000,50.0%,25.0%,25.0%,1.00,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Yamakawa Hotaka,9,35,34,7,9,2,0,4,23,9,0,0,0,0,11,1,0,0,1,0.265,0.286,0.676,0.962,186,0.412,0.263,45.7%,31.4%,2.9%,0.09,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Yamasaki Iori,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,,100.0%,100.0%,0.0%,0.00,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Oka Hiromi,3,9,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,11.1%,11.1%,0.0%,0.00,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Okamoto Kazuma,6,24,18,1,4,0,0,1,7,2,0,0,0,0,4,6,4,0,1,0.222,0.417,0.389,0.806,153,0.167,0.231,45.8%,16.7%,25.0%,1.50,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Kishida Yukinori,4,12,8,1,0,0,0,0,0,1,1,0,2,0,2,2,0,0,0,0.000,0.200,0.000,0.200,-33,0.000,0.000,33.3%,16.7%,16.7%,1.00,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Shimada Kairi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,nan,1.000,nan,nan,nan,nan,,100.0%,0.0%,100.0%,1.00,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Minei Hiroki,2,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.667,106,0.000,0.500,33.3%,33.3%,0.0%,0.00,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Kawase Hikaru,3,6,6,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.667,106,0.000,0.400,16.7%,16.7%,0.0%,0.00,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Takeda Aito,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,,100.0%,100.0%,0.0%,0.00,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Tobashira Yasutaka,13,50,48,6,15,3,0,1,21,7,0,0,0,0,8,2,0,0,0,0.312,0.340,0.438,0.778,137,0.125,0.359,22.0%,16.0%,4.0%,0.25,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Togo Shosei,2,4,1,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,,25.0%,25.0%,0.0%,0.00,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Saiki Hiroto,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,0.0%,,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Arihara Kohei,2,4,4,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0.250,0.250,0.250,0.500,55,0.000,0.333,25.0%,25.0%,0.0%,0.00,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Kinami Seiya,2,6,4,0,1,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0.250,0.500,0.250,0.750,144,0.000,0.500,66.7%,33.3%,33.3%,1.00,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Azuma Katsuki,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,207,0.000,0.500,0.0%,0.0%,0.0%,,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Matsuo Shion,2,4,4,1,2,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0.500,0.500,0.750,1.250,277,0.250,0.667,25.0%,25.0%,0.0%,0.00,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Matsumoto Go,6,24,20,2,5,0,0,0,5,1,1,2,1,1,2,2,0,0,2,0.250,0.304,0.250,0.554,72,0.000,0.263,16.7%,8.3%,8.3%,1.00,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Hayashi Takuma,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,0.0%,,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Yanagita Yuki,9,40,37,3,9,1,0,1,13,3,0,1,0,0,10,3,0,0,1,0.243,0.300,0.351,0.651,100,0.108,0.308,35.0%,25.0%,7.5%,0.30,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Yanagimachi Tatsuru,2,4,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,50.0%,50.0%,0.0%,0.00,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Shibata Tatsuhiro,4,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,,50.0%,50.0%,0.0%,0.00,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Kurihara Ryoya,9,37,33,3,6,0,0,1,9,2,0,0,1,0,10,3,0,0,2,0.182,0.250,0.273,0.523,61,0.091,0.227,37.8%,27.0%,8.1%,0.30,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Kuwahara Masayuki,14,62,54,8,18,5,1,1,28,10,1,1,2,0,4,4,0,2,0,0.333,0.400,0.519,0.919,180,0.185,0.347,14.5%,6.5%,6.5%,1.00,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Umeno Ryutaro,2,5,5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.200,0.200,0.200,0.400,25,0.000,0.250,20.0%,20.0%,0.0%,0.00,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Kajiwara Kouki,14,63,62,8,16,2,0,0,18,4,2,1,1,0,16,0,0,0,1,0.258,0.258,0.290,0.548,69,0.032,0.348,25.4%,25.4%,0.0%,0.00,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Mori Keito,14,55,46,10,14,1,1,0,17,4,2,1,2,0,8,6,1,1,0,0.304,0.396,0.370,0.766,137,0.065,0.368,25.5%,14.5%,10.9%,0.75,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Morishita Shota,2,9,8,1,5,0,0,1,8,2,0,0,0,0,1,1,0,0,0,0.625,0.667,1.000,1.667,423,0.375,0.667,33.3%,11.1%,11.1%,1.00,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Masaki Tomoya,5,17,15,1,2,1,0,0,3,1,0,0,1,0,1,1,0,0,0,0.133,0.188,0.200,0.388,20,0.067,0.143,11.8%,5.9%,5.9%,1.00,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Mizutani Shun,4,6,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,0.000,83.3%,83.3%,0.0%,0.00,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Mizuno Tatsuki,6,21,20,2,8,1,1,0,11,2,0,0,1,0,8,0,0,0,0,0.400,0.400,0.550,0.950,187,0.150,0.667,38.1%,38.1%,0.0%,0.00,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Asano Shogo,1,4,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,50.0%,50.0%,0.0%,0.00,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Umino Takashi,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,,100.0%,100.0%,0.0%,0.00,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Asama Daiki,5,11,10,0,1,0,0,0,1,1,0,1,0,0,7,1,0,0,0,0.100,0.182,0.100,0.282,-10,0.000,0.333,72.7%,63.6%,9.1%,0.14,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Kiyomiya Kotaro,6,26,25,1,6,1,0,0,7,3,1,0,0,0,3,1,0,0,0,0.240,0.269,0.280,0.549,69,0.040,0.273,15.4%,11.5%,3.8%,0.33,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Shimizu Yushi,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,508,0.000,1.000,0.0%,0.0%,0.0%,,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Watanabe Ryo,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,50.0%,50.0%,0.0%,0.00,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Hamaguchi Haruhiro,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,513,0.000,1.000,0.0%,0.0%,0.0%,,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Maki Shugo,14,65,56,6,16,2,0,1,21,7,0,0,0,0,10,7,0,2,1,0.286,0.385,0.375,0.760,134,0.089,0.333,27.7%,15.4%,10.8%,0.70,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Makihara Taisei,5,18,15,1,4,1,0,0,5,2,0,0,1,0,0,2,0,0,1,0.267,0.353,0.333,0.686,112,0.067,0.267,11.1%,0.0%,11.1%,1.00,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Tamiya Yua,4,9,8,1,1,1,0,0,2,0,0,0,0,0,3,1,0,0,1,0.125,0.222,0.250,0.472,45,0.125,0.200,44.4%,33.3%,11.1%,0.33,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Kai Takuya,8,26,22,0,1,0,0,0,1,1,0,0,1,1,13,2,2,0,0,0.045,0.120,0.045,0.165,-46,0.000,0.100,57.7%,50.0%,7.7%,0.15,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Yazawa Kota,1,3,3,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.667,105,0.000,0.500,33.3%,33.3%,0.0%,0.00,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Chino Naoto,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,,100.0%,100.0%,0.0%,0.00,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Ishii Kazunari,2,3,3,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0.333,0.333,0.333,0.667,105,0.000,1.000,66.7%,66.7%,0.0%,0.00,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Ishikawa Shingo,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,0.0%,,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Kamizato Kazuki,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,0.0%,,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Akihiro Yuto,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,,100.0%,100.0%,0.0%,0.00,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Tateoka Soichiro,3,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,25.0%,25.0%,0.0%,0.00,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Sasagawa Yoshiyasu,2,7,7,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0.143,0.143,0.143,0.286,-11,0.000,0.200,28.6%,28.6%,0.0%,0.00,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Tsutsugoh Yoshitomo,10,28,26,2,7,2,0,1,12,7,0,0,0,1,8,1,0,0,1,0.269,0.286,0.462,0.747,126,0.192,0.333,35.7%,28.6%,3.6%,0.12,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Itohara Kento,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,218,0.000,0.500,0.0%,0.0%,0.0%,,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Ogata Riku,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,0.0%,,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Ogino Takashi,2,8,6,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0.167,0.250,0.167,0.417,31,0.000,0.167,25.0%,12.5%,12.5%,1.00,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Sugano Tomoyuki,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,0.0%,0.0%,0.0%,,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
