Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
Akiyama Takumi,2,0,1,0,0,0,0,46,9.2,16,1,7,1,0,0,0,8,8,7.45,3.24,3.50,1.76,42,92,97,4.21,2.2%,15.2%,2.2%,13.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Aoyagi Koyo,18,8,6,0,0,0,0,439,100.1,102,6,64,38,2,9,3,54,51,4.57,3.94,4.21,1.40,69,112,116,0.63,1.4%,14.6%,8.7%,5.9%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Baba Kosuke,19,2,1,0,3,0,0,89,22.0,17,2,22,8,0,0,0,8,6,2.45,3.31,3.23,1.14,129,94,89,-0.86,2.2%,24.7%,9.0%,15.7%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Beasley Jeremy,18,1,2,0,0,0,0,170,41.0,35,1,43,13,0,1,2,12,10,2.20,2.28,3.04,1.17,144,65,84,-0.08,0.6%,25.3%,7.6%,17.7%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Brewer Colten,13,0,1,0,2,0,0,50,11.1,6,1,14,6,1,0,1,5,3,2.38,3.30,3.20,1.06,133,93,88,-0.92,2.0%,28.0%,12.0%,16.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Hamachi Masumi,30,3,1,0,6,0,0,121,27.2,32,6,23,6,0,0,0,18,18,5.86,4.84,3.40,1.37,54,137,94,1.02,5.0%,19.0%,5.0%,14.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Ishii Daichi,44,1,1,0,19,0,0,165,40.0,43,2,29,8,1,1,0,8,6,1.35,2.91,3.53,1.27,234,82,98,-1.56,1.2%,17.6%,4.8%,12.8%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Itoh Masashi,21,10,5,0,0,3,2,572,146.2,120,8,91,21,2,4,3,40,39,2.39,3.02,3.58,0.96,132,85,99,-0.63,1.4%,15.9%,3.7%,12.2%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Iwasada Yuta,50,1,0,0,24,0,0,177,43.1,36,2,30,12,1,2,0,15,13,2.70,3.22,3.78,1.11,117,91,104,-0.52,1.1%,16.9%,6.8%,10.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Iwazaki Suguru,60,3,3,35,12,0,0,217,56.0,32,3,62,14,0,2,0,13,11,1.77,2.38,2.59,0.82,178,67,72,-0.61,1.4%,28.6%,6.5%,22.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Kajiya Ren,51,1,5,1,16,0,0,161,38.2,34,3,32,13,0,2,6,12,11,2.56,3.55,3.62,1.22,123,100,100,-0.99,1.9%,19.9%,8.1%,11.8%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Keller Kyle,27,1,0,1,8,0,0,118,26.1,22,1,28,16,2,1,3,7,5,1.71,3.34,3.78,1.44,185,95,104,-1.63,0.8%,23.7%,13.6%,10.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Kirishiki Takuma,27,2,0,0,14,0,0,158,40.1,28,1,40,12,1,0,0,10,8,1.79,2.27,3.03,0.99,176,64,84,-0.48,0.6%,25.3%,7.6%,17.7%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Kobayashi Keisuke,1,0,0,0,0,0,0,4,1.0,1,0,1,0,0,0,0,0,0,0.00,1.04,2.30,1.00,999,29,64,-1.04,0.0%,25.0%,0.0%,25.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Mombetsu Keito,2,0,0,0,0,0,0,37,8.0,13,0,5,1,0,0,0,3,3,3.38,2.16,3.72,1.75,93,61,103,1.22,0.0%,13.5%,2.7%,10.8%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Murakami Shoki,22,10,6,0,1,2,1,532,144.1,92,9,137,15,0,1,0,30,28,1.75,2.28,2.51,0.74,180,65,69,-0.53,1.7%,25.8%,2.8%,23.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Nishi Junya,17,5,2,0,0,1,0,316,72.1,79,9,45,28,0,3,0,33,31,3.86,4.70,4.26,1.48,82,133,118,-0.84,2.8%,14.2%,8.9%,5.3%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Nishi Yuki,18,8,5,0,0,2,1,452,108.1,106,8,56,24,2,8,0,47,43,3.57,3.85,4.09,1.20,88,109,113,-0.28,1.8%,12.4%,5.3%,7.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Ohtake Koutaro,21,12,2,0,0,1,1,513,131.2,122,10,82,12,0,3,0,36,33,2.26,3.12,3.44,1.02,140,88,95,-0.86,1.9%,16.0%,2.3%,13.7%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Okadome Hidetaka,8,1,0,0,0,0,0,25,7.0,5,0,6,1,0,0,0,1,1,1.29,1.75,2.80,0.86,245,50,77,-0.46,0.0%,24.0%,4.0%,20.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Oyokawa Masaki,33,3,1,0,7,0,0,147,36.1,28,2,40,14,3,2,1,10,9,2.23,2.87,3.03,1.16,142,81,84,-0.64,1.4%,27.2%,9.5%,17.7%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Saiki Hiroto,19,8,5,0,1,1,1,473,118.2,88,8,107,36,1,2,3,29,24,1.82,3.07,3.30,1.04,174,87,91,-1.25,1.7%,22.6%,7.6%,15.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Shimamoto Hiroya,35,4,2,0,15,0,0,100,26.2,19,0,20,3,1,1,0,6,5,1.69,1.99,3.10,0.83,187,56,86,-0.30,0.0%,20.0%,3.0%,17.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Tomida Ren,9,1,2,0,0,0,0,66,16.0,14,2,10,5,0,0,0,11,8,4.50,4.35,4.04,1.19,70,123,112,0.15,3.0%,15.2%,7.6%,7.6%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Yuasa Atsuki,15,0,2,8,3,0,0,67,14.1,15,3,15,8,0,0,0,8,7,4.40,5.34,3.76,1.60,72,151,104,-0.94,4.5%,22.4%,11.9%,10.5%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Aduwa Makoto,14,1,0,0,1,0,0,67,16.2,15,1,13,2,0,1,0,6,6,3.24,2.80,3.16,1.02,96,80,87,0.44,1.5%,19.4%,3.0%,16.4%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Anderson Drew,21,4,1,0,2,0,0,181,45.0,30,2,39,17,0,2,1,12,11,2.20,3.15,3.58,1.04,141,91,99,-0.95,1.1%,21.5%,9.4%,12.1%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Corniel Robert,8,1,4,0,0,0,0,191,42.1,46,2,23,18,0,2,3,25,24,5.10,3.98,4.54,1.51,61,114,125,1.12,1.0%,12.0%,9.4%,2.6%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Endoh Atsushi,8,1,5,0,0,1,1,174,41.0,36,7,22,15,0,2,0,20,20,4.39,5.43,4.40,1.24,71,156,122,-1.04,4.0%,12.6%,8.6%,4.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Horie Atsuya,8,0,0,0,2,0,0,33,7.0,10,1,10,3,0,0,0,4,4,5.14,3.32,2.68,1.86,61,95,74,1.82,3.0%,30.3%,9.1%,21.2%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Ichioka Ryuji,1,0,0,0,0,0,0,1,0.1,0,0,1,0,0,0,0,0,0,0.00,-2.96,-5.20,0.00,999,-85,-144,2.96,0.0%,100.0%,0.0%,100.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
