#,,Team,W,L,PCT,Diff,HR,SB,OPS+,ERA+,FIP-,K-BB%,wSB,TZR
,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,60,82,0.423,-32,100,75,90,106,99,10.9%,-4.0,4.0
,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,70,71,0.496,-43,104,102,106,88,108,8.9%,4.2,23.6
,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,71,70,0.504,16,164,48,110,95,104,12.7%,-1.9,-11.0
,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi Dragons</a>,56,82,0.406,-108,71,36,89,96,100,11.5%,-2.7,-19.1
,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,57,83,0.407,-33,123,62,97,92,107,10.7%,3.4,6.7
,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima Carp</a>,74,65,0.532,-15,96,78,101,97,106,10.7%,-3.8,-4.2
,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,85,53,0.616,131,84,79,103,119,90,13.3%,3.2,26.2
,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,74,66,0.529,24,105,33,101,102,94,14.9%,-3.5,-23.5
,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,65,77,0.458,-30,90,80,93,106,108,9.4%,0.5,33.3
,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,86,53,0.619,80,109,52,107,113,88,14.0%,-2.3,-30.3
,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,71,69,0.507,29,104,73,103,99,103,11.5%,1.9,9.6
,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,70,68,0.507,-19,100,73,96,97,92,12.9%,4.9,-15.5
