                  Team    TZR TZR/143   RngR    ARM   DPR   ErrR Framing Blocking League
0        DeNA BayStars  -12.0    -1.5  -10.6   -5.7  -1.2    5.7     0.0      0.0     CL
1     Chunichi Dragons   41.3     5.2   21.8    5.8   1.5   12.1     0.0      0.0     CL
2       Hanshin Tigers  -16.0    -2.0  -20.3   10.3   1.1   -8.0     0.0      0.0     CL
3      Yakult Swallows  -60.4    -7.6  -43.4   -7.8   2.2  -12.2     0.0      0.0     CL
4       Hiroshima Carp  -30.7    -3.8  -18.9   -3.9   0.8   -9.1     0.0      0.0     CL
5       Yomiuri Giants   -6.1    -0.8   -5.6    1.0  -2.1    0.6     0.0      0.0     CL
6   Nipponham Fighters   26.6     3.0   45.3  -19.0  -2.9    2.8     0.0      0.0     PL
7       ORIX Buffaloes   -4.5    -0.5   -8.9   11.7   2.2   -9.9     0.0      0.0     PL
8        Lotte Marines  -12.8    -1.4   -9.8   -1.3  -5.0    3.1     0.0      0.0     PL
9       Rakuten Eagles   48.1     5.4   45.8   -4.9   2.5    4.0     0.0      0.0     PL
10      SoftBank Hawks   -8.3    -0.9   -4.7   -2.0  -7.0    5.1     0.0      0.0     PL
11         Seibu Lions   29.0     3.3   10.9    9.1   6.5    2.5     0.0      0.0     PL
